tweet,class
 you aint special niglet   when im chilling wit greg ppl walk up to me to ask me to take picshatin,1
   lemme find out you niggaz letting bitches shit on yo faces  niggas is weirdos,1
   u a regular nig u played out b lol ima b ig famousthese days that counts for somethin,1
" no need to thank me killing niggers is its own reward. 

dis my pal from our graduation when we was ",1
 i hate that bitch amp the fact that oomf likes her.. just no  retweeettt x.,1
   bitch ass nigga fuck you   lt= these hoes aint got no manners realtalk,1
 that one friend who you greet with an insult.   niggers,1
  if fleek in yo vocabulary you a faggot,1
  faggot respect,1
 o u unfollowed me so i cant dm u so ill say it here youre a rude cunt lmao you can dm me,1
 i want affection  but i also want to be left alone ... do you see the issue herefag,1
 why yall think its ok to be faggots and want us to be cool with them,1
ampwhen they say him they mean dyke ron wcw ,1
 dont sleep on ma niggah chood   ,1
 happppppy bi  lol . niggahs is really  in this bitch  . ,1
 if this ugly ass niggah can be with her  i can too . tf she with chuu baka for anyways this niggah look like a... ,1
 this niggah pharrell or whatever this niggah name is dont deserve shit for that white ass gay song .,1
damn you whitey youll get a kick out of the newest form of white privilege ,1
"goes to olive garden
turns into a cracker
 goes black friday shopping

turns into a nigger",1
 me gusta typing like a retard to make the other person look dumber by pretending to agree with them bazinga,1
gt   ankle socks in general are for the faggots bro,1
...aaaaaaaaand it begins.   fucking niggers thats all kentucky is and ever will be,1
...youre white arent you rolls eyes    rip to my nigga trayvon a wo spear chucker,1
 beer queer,1
 hoes  dyke,1
 old hoes a ponk and a dyke outchea having girl talk,1
 white men in pick up trucks screaming nigger and my coach got the nerve to get mad i missed the free throw ,1
 mo  let kill some crackers kill their babies new black panthers hijack his ferguson presser ,1
 i bet hes a starbucks queer,1
 good enough fag,1
  faggot,1
 but i live in the south. lot more here. my pop lives in rhode island. hardly no niggers there.,1
 so basically you like the background music fag.,1
 i hate that nigger.,1
 those niggers disgust me. they should have dealt with  years ago we wouldnt be having these problems now.,1
 this is retarded,1
 cant wait for more peds is that it roid munching faggot,1
  homo ass crackers,1
 fight me  on  ur choice of game faggot see what happens,1
   they are wrong you are a nigger always causung mischief among ur own people,1
" 
you be totally correct anthony. cant be livin round dem colored folk. day be bringin down da hood and dem propery value",1
 the youre going have  kill crackers amp their babies new black panthers credibilityshot fergusonriot justicemikebrown,1
 guys not supposed to get their ass sucked queer,1
 welcome to the movement. anyone who gets even minor publicity is a queer fed or jew well according to the internet.,1
      ape fuck u broke ass racist,1
 i do not like talking to you faggot and i did but in a nicely way fag,1
" answer my snapchat faggot 
butthu",1
  do i literally eat asshole for a living is that what i actually do faggot you seem a little confused..,1
 so ur faggot teammate  hits someone late like that and u say hes yapping and yelling u guys def  in the room,1
  send them damn beaners back where they belong n the us aint it,1
   cracker jack shut the fuck up,1
 youd like that wouldnt you fag,1
 he looks like a fag and his time line is boring zzzzzz,1
  your whats wrong with the white race you fuckin coon slaying piece of poop please die alone,1
 lmfao go to bed whitey ,1
  pass the fosters faggot,1
 yea....what did it do for maidana it made him a greedy faggot loser. atleast broner is black...,1
   yea u stupid faggot. im not leaving till like pm. want a ride,1
 never followed him ignorant monkey,1
    of a citizen. i said it for you maria you spic,1
  your a nasty nigger whore,1
 they said some bullshit. damn niggers,1
 wow are you comin back up here  they some bitch niggas,1
 id like to rape the bitch that posted that.,1
 fuck you faggot.,1
 these new nigga hipster hypebeasts love all these faggot ass bright colors and nike keeps giving them what they want smh,1
  sand nigger ran over some kidd,1
 i dont like the sand nigger but its ente like  knockdowns,1
 joe co is the ultimate faggot that fight proved it,1
 all us beaners were pissed like robe when the jew ref stopped it,1
 true sand niggers amp bum brits claim hes a atg hall of fame legend smh,1
  racist  tx trash racist why wld u intvw  n ask racist questions itwas so disrespectful,1
 hey sir house nigger uncle tom arent you from grand ole mississippi i rest my case,1
 is a fag hesgay,1
 you styl gotta get dem tweets off my nig,1
 fuck outta here and go put some more trash ass ink on your faggot ass self pussy,1
 stay talking defending your fuckboy ass boyfriend or what go suck him off while youre at it faggot,1
   you need to accept the fact that youre both hipster faggots.,1
 your gay stfu dumb monkey,1
 chase you god damn faggot ,1
 be gone my nigguh,1
  faaaaggggottttt speaking with the blonde hair and confused youre a hypocrite cuz youre a faggot,1
 shut up chink.,1
  you call someone a faggot and then say to kill themselves you are a pathetic human being. a fucking disgrace.,1
 you dont know what your talking about retarded faggot,1
 true i miss yall man yall are my brothers. is mikey sta and what about the chink lmfao,1
 because youre a fag,1
 wetback ,1
   the nig is fun to watch got to admit ebola boy can speak broken spanish too lol,1
 you look like fucking shrek bitch,1
  get on cunt,1
 bitch shut the fuck up goddam your a slut bitch whore nigga,1
 jk id fuck a dog before i fuck you fish pussy,1
 because if you suppo lesbians you have to suppo faggots theres no difference.,1
 that hoe on some other shit bro  and x better rn that a nigga high,1
 id hate feeling like a faggot too punk ass hoe,1
 how about you wash my butthole out with your tongue you little faggot,1
 whatever fuck all those assholes. theyre niggers they all look alike to me.,1
" those little isis faggots usually have bags over their heads anyway. 
makes bullet placement interesting thru a scope.",1
  fags,1
  purple amp pink....for the faggots who want to be protected...by the police instead of bearing arms if need be,1
   shut up fag,1
 this like a retarded wutang clan,1
 beans u beaner,1
 you wouldnt know fag,1
  an enraged   lb mike brown lethal weapon on legs.his hatred  the police amp whitey added fuel  his arsenal,1
  i just learned how many retards you can find when you search trending topics.,1
 thats not bias. its an objective fact that philly fans are cunts.,1
  movies dont matter as long as you do coon shit with coons youre a nigga,1
 sounds like a good idea. but i want my word to be spread. jews niggers and commies alike.,1
  you both sure do you want to give a free pass to every border jumper in this country you two are whats wrong here,1
      because shes a nigger,1
  you have a redneck attitude. the same people that think benghazzi is real think fox fake nws is real. your one,1
 becuz no man should celebrate his bday at a drreams faggot,1
  hoe dont make me put up screenshots of your texts to me hoe,1
 jus wanted to let yll know hope the hurricane kills your soca sunday trash lordwillin,1
 ew queer white thirsty bitch,1
 fugly queer white trash,1
 omg gtfo white faggot,1
 ratchet looking nigger,1
 you understand you look like a real life dyke right like you look like a wnba dyke bro. a spo bra amp bball sho wearing dyke,1
 yes now get off twitter you lame negros should have never learned how to use the internet,1
 hahahaha youza fuck wigger,1
 leave you beaner retard,1
 heyyyyyyyyyyy fag boy am i gonna watch you play,1
 says the old man  i hope you can survive another  years you silly jigga boo monkey,1
 hoe dont tweet me,1
 hope you guys do get attacked for suppo sopa bunch of di snake faggots.,1
 go pray in a church or something fag no one cares about your religious bullshit.,1
   that band is white trash and only white trash would buy that album.,1
 julie tell them crybaby blacks to get someone blk. and dress them up white faced......niggers always whining,1
  haha ight nig calm yoself,1
 fucking block your white ass because you try to sta shit like a fucking queer so fuck you nigga,1
 ight nigga haha fucking queer has to clear his schedule,1
 roid rage much faggot,1
 legit retard,1
  they want what i got i want what they got america.they got the word nigger i want it to,1
 im jus tryna vaca away from the niggers bro.,1
 sion is a faggot. very meh ganks pre and post his ganks are still pretty meh hes just a tank nothing special imo mao +,1
   your low info redneck dumbasses vote for these corporate shills that idiots like you believe dummies,1
 move out of our country teabaggers,1
 those god damn chinks. ,1
 niggerfood niggerperson you are a nigger,1
 ok wat ever u say whitey. u prolly never even seen shaft.,1
 shut up lizard faggot nigger cunt,1
 ya i know all the slang im racist i h porch monkies,1
 if the faggots can have a page y cant theyfaggots offend me more than them,1
 im american dont give  shits about the beaners ship them beaners back,1
 y dont that bitch just shoot herself so sick of all those whores,1
 that was so gay. and i was tanning bitch. juvie made me white,1
 happy cuz i woke up white and not a nigger,1
 nigger,1
 can you speak one coherent sentence without sounding like a nig seriously.,1
 it was a joke you fugly bitch be happy uncle snoop even acknowledged your nasty ass lmao,1
 ok u fat precious lookin ass bitch u big fat back at the barnyard lookin ass bitch. i can fix my grammar but u still fat,1
 thats not even a real word must have hit a blunt and sta making up shit with your nigger ass lol,1
 done that spell check we know you meant fat liberal dyke feminist nazi bitches,1
 you a fatherless wallet carrying ass video game playing ass negro breh. you filth. no way you can afford to date a twitterhoney.,1
 randies are fags,1
 just fuckin roasted this faggot,1
   we should hang out ovenjew. have a lot in common. people waste time on nigs. jews r r problem.,1
 that should read suck on my bacon encrusted middle finger muslim twats,1
 yourself faggot buy a dictionary,1
" 
you can always gets da colored folk back in da cage wit da kfc",1
 nothin much cousin touching white trash wigger wannabe bitch boy dick sucking fucking gay bitch,1
   but...country music listeners really are hicks and alcoholics ,1
   and fuck you too ya little bitch you look like a mexican sucking a cock in ur profile,1
 niger,1
   im pa faggot..homo...both fairly describes the same sick twisted assholes out there.,1
  what do you want fag,1
  your a fag,1
 shut up you stupid bitch,1
 fag,1
 you dont know shit about me faggot bitch,1
 fag,1
 faggot,1
 not funny u faggot,1
 ur brother looks so queer and ugly,1
 i remember his nephew lucas crying and dan saying quit being such a pussy and grow a pair or something.  dans so funny.,1
  good leave you stupid faggot,1
 huh lol mad nigger is mad,1
   lmao madonnas music sucks yeah youre fucking stupid if you think gaga is better. retard,1
 happy bi faggot,1
" and how am i assume shit 
hmm cuz u dont know what fuck u talking about crackers these days.",1
 i guess blaspheme to your allah is ok if your pos muzzie huh   ,1
 sit down and stfu raghead  ,1
 sweet comeback u fuckin herb i dnt watch soccer but id still wax your bitch ass in it go swallow the red soxs kids ur from nyc fag,1
 damn took this dumb spic nearly  days to respond wuz really good tho beaner,1
 shut yo beaner ass up spic and hop your faggot ass back across the border little nigga go listen to some pitbull,1
 fuck u nigger,1
  is an evil hate whitey racist who thinks delbe belton deserved it.   ,1
 ugly nigger,1
  gotta love it when the islamofascist cow tries to make a reto about age typical muzzie idiocy,1
 nahh  whatever you are spook or spic i still dont like you . good day,1
   so if your  and in high school you dont have your own house you fucking faggot,1
 because ians retarded,1
 i got a dyke wit a child as whse mgr and she jus hired another girlboy dis week....,1
  u pulled.that queer shit as spon as u put no homo lol,1
 i have never seen such ignorant illiterate pieces of shit in my life. bring in natl guard amp disperse this trash. ,1
 fucking losers wetbacks sorrynotsorry,1
  now we have a ebloa case in texas. if we kill all the niggers we might be safe.,1
 idk you into mouthy spics on welfare with  kids and  baby daddys,1
 i dont bend that way queer. thanks for the offer its flattering.,1
 go back to nigeria faggot,1
  youre a coon,1
 yeah me too. my people the women laff at the set apa men... they love the real niggas or niggers.,1
   they have mix not all are retards. aap is maoists terroristscongies and delusional retards,1
  hey aklve im taking out the black ghetto trash. youre blocked nigger,1
 t.o. was a faggot crybaby,1
 you a fag b,1
   anything to trash this black president,1
  you know what you did you faggot. there are literally thousands of people that have you on their radar homo,1
 geta life faggot,1
 your a cunt,1
 shut your legs hoe,1
   shit your ass and shabbat your moms pussy u jew bastard. ur times coming. heil hitler,1
 shut up coon.,1
 i dont follow you because everything about your company is white trash.,1
 you really seem to love sandusky. weirdo. ur a creepy ass cracker,1
 stop trolling me u creepy ass cracker,1
" 
she be what we say in da hood white trash",1
" 
yall whitey gots to pay fo da preparations",1
  i wasnt serious bitch  bitch them niggas i named aint fuccing witcho ass  we all just making shit up ,1
 i swear to god nigger you better still hang with me before work. you got my hype,1
 do you work today niglet,1
      ugly gay nigga bitch fucking peace of shit,1
      yall is coons n uncle toms,1
  fuck you stupid ass coward ass punk bitch faggot ass racist piece of shit. punk. bitch aint wo my time,1
 only one problem theres a no pussies allowed sorry ,1
  lmao nigga shoulda said i would be balless bc dat cold bitch wont stop blowin meswaagg,1
  hey fag i said this was your aunts. he said it was you.,1
  jews and white race traitors have to be swept clean so the aryan race can survive.,1
 big fucking deal...cry baby niggers,1
 what did you search gay redneck episode  play,1
   your getting blocked faggot,1
 just like a nig to come home when ever they want,1
   look at this nigger ass nigger shit right here,1
  niggers,1
 dont tell me what to do. fuck balls kike nigger cunt tits cocksucker chink spic piss bitch bastard pussy faggot.,1
 kill yourself ugly ass monkey looking shit,1
  yes im white washed because i dont go around repping my hood and saying a bunch of ignorant nig terms.,1
 fuck you fag,1
 fuck you niggah you gay. lol,1
 it was paul mcca faggot,1
 fuckin muzzie cunts should all be depo savages,1
 screw the ragheads.,1
   you fuckin yankees ill be there in  months ill meet you pussy,1
  dryer then them bad ass eyes of your fag,1
 back up faggot,1
 new york niggas quick to take off on a bitch in public boy lol,1
 fucking coon,1
 fuck your mother faggot,1
 i dont hate that he blew up from  like a hipster but i hate the faggots who say they love his music based off his worst +,1
 you retarded bruh lol,1
   hes a lying faggot. he used inspect element to change the number of dollars in his account.,1
 dumb haitian fake black faggots. go to haiti and neck yourself.,1
 lmaoo what a fag,1
 fuck those faggots,1
 i agree my fellow cracker.,1
 you are full of it these so called children are not children. they are illegal border jumpers ms gang members.,1
 and the only band that sucked worse live is those fags guns amp poses.,1
"  
i likes dat name. dem sand niggers needs to know dare place in da pecker order",1
 jesus i would love to do that and more to those muzzie to fucking animal savages,1
 im not a fag. gtfo,1
 so your a nigger fighter huh,1
  no ur wrong stupid nigger,1
 lmao soft ass nigga trying to act all tough you a little bitch. sit down and watch from the sidelines pussy.,1
 faggot sack,1
 whooooo chelsey fuck her lol. she juss a bitch,1
 bruh we can finally roll like rednecks  drug dealers,1
 well hes a cunt and he can suck my ass,1
 youre such a faggot,1
     why ur profile a one armed nigger,1
 you tell me coon.,1
 happy bi nicca do coon shit in a responsible way.,1
 whats your youtube channel then faggot,1
  i wouldnt be proud that faze is in your family. hes horrible for one and two hes ugly trailer trash... fazeisgay,1
  oh woulda coulda shoulda ass niggas bitch ass nigga what u bout oh ban wagging ass nigga catch your phase,1
    eye witness joel is a faggot,1
 faggot,1
 okay closet fag,1
 ya fag,1
    ahmed and retard mikey for special olympic boxing,1
 das calld usen yo brain retard y would i whoop yo ass n front of da police,1
 i can guarantee a few things youre white. youve never been anywhere near a real ghetto. you or a relative is a pig. ,1
   best believe we aint no christian slave brainwash black spooks miss white man unlike yoself she devil,1
   at the end of the day they call yo dumb ass monkey pickananny hoe. but u luv them white devils,1
   will convince u that is a lame you a nigger liver believes it cuz you a nigger whore,1
 i dont give a flying fuck what a teabagger piece of human garbage like you thinks =,1
 you are a teabagger scum who wants to threaten people with his penis extender. you are a danger to this country.,1
 if only there was a medal for that we hate fags but we wont kill them medal. thank u for the privilege to let fags live.,1
" shame of you selfhating kike. 
we jews are gds chosen people.",1
 you call  house nigger and shes the racist fathom the hypocrisy in that statement.,1
 ...i fuckin want outgt im tired of this bullshit faggot ass closet racist wannabecommunewithoutrailroad stategt cali,1
 faggot.,1
 is the biggest faggot in the world,1
  just like when i call someone a nigger its not because theyre black its about how they act. like a nigger,1
 hes just a friggin idiot that can say anything and his redneck teabagger constituants buy it. they love stupid people,1
 bye youre a queer,1
 this is a joke right youre on here like ugh i wish i was a jap and tweeting in gook and shit and jerkin to hentai.,1
 u see a lame in that pic ofmine due to your infatuation with niggers. im hebrew i fite the children of satan in the streets,1
 fuck miley tranny looking now damn ass nigga,1
 one less little nigger that would grow up into a big nigger.,1
 ive been knowing fag,1
 faggot,1
   do birds have a  out of wedlock rate is it white fathers that are running away,1
 youre a little bitch.,1
 aww y u so mad tho a successful man lmfao hut hugging as faggot.,1
 and  are faggots. kbye.,1
 and its people like you that give us all a bad name you are a disgusting piece of shit of a person a nigger is what you are,1
  say that shit to my face bruh you a bitch for gettin in a man u dont know business. handle yo own shit,1
 you are a pussy without your guns bitch as spic. your daddy doesnt even respect the sperm he drop in your moms stank pussy,1
   coming to the rescue of some retard licking di skidmarks on the internet... you guys are fucktards,1
 thats actually nonenglish. because okiecops are filthy white trash who are all criminals.,1
 i thought you would like him cause of the chi but yeah he a faggot,1
 its the entire pats bandwagon. theyre faggots,1
 studies show that youre a faggot,1
 only faggots drive stick,1
 go jerk off to lollis faggot.,1
 shes a cunt,1
 kill the coons,1
 yeah so you better play with me ya nigger,1
 fuck your store bitch,1
  so you suppo illegals coming here and spreading disease among americans dream that bitch,1
  hes a faggot and i dont like him.  im on the other side of the state.,1
   fuck outta here faggot that wouldnt even be a fair,1
  shut the fuck up fag ill beat the shit outta you,1
 insecure much put all you insults in one tweet. fucking dumbass dude id wreck you you faggot,1
 i hate that faggot he so corny,1
 gay fags,1
 shit ill pay the premium to get away from these anything ass hoes,1
 the fuck r u talking about i told u once and am going to tell u against nigga i love white bitch gtf bro,1
 fags,1
 fag,1
 aw drake is do you sit in the corner and cry when you listen to him lmfao pussy dick rider how drakes cock taste faggot.,1
 your picture makes you look like a serious fag. justsayin lol,1
 faggots old people people who cant drive drunk people,1
 fuck brett farve redneck ass he stuckup he dont give a damn lol he be on campus acting like he the shit,1
 youll make the team them niggas trash. lol,1
 fags,1
  i dont have any problems with zak but you seem like a faggot ,1
  hes a faggot,1
    thats true idk why your even in this convo you dumb nigger attention whore,1
  lmao you stupid nigger,1
 hell naw fuck them bitches serves them right,1
 yea i forgot i was talkin to a degenerate faggot,1
 faggot,1
 youre a faggot,1
 hey fag i lt you,1
   man bitch am not gonna do a damn thang if u dont like what i got to say then unfollow me,1
 nope not at all but im stuck in a house full of fucking niggers help me escape ,1
    shut up nigger,1
 status repo making a pit stop in canada to rape bitches,1
  woohoo new black kill cracker babies panthers to the rescue racist trash thugs ferguson fergusonriot,1
 nigger,1
 oh shut your mouth i was talkin about the morning you fag,1
 naw dude i wish theyre white trash,1
 leave dyke,1
 you say waste a draft pick on manziel when we have mallet. thats why im telling you to delete your account. youre retarded,1
 faggot,1
 i can give you some of my clothes so you can look like a cute dyke,1
 chink eyed ,1
 may i jump in u ballless dickwad as a conservative feminist disabled vet bitch i wish u luck with a capital f. ,1
 happy bi queer,1
 oh no. they drafted that gay ass that come out on tv well u welcome to redskins nation. no queers just a lot of niggers.,1
 pats owner is a kike.,1
 with pills that nig will last  years. like magic j .that nig should hav died years ago. yall the first team to draft gay.,1
 your . and . nigga them hoes suck wayans brothers are not funny at all jamie foxx should be number ,1
 your a fucking queer faggot bitch,1
"  
here ya go wetback eat this.. ",1
 ur pal  threat apostate kufargti cld cut ur neck wsword of islam ampwatch u squeal like a bitch like daniel pearl,1
 but thats what you call white trash with money,1
 no ud still be a fag if i was lolz,1
 ur a fag,1
 youre a fucking nigger,1
 like the new avi. my twitter is retarded and shows you in the cubs hat but when i stalk your profile it show the new one,1
 we are being overrun by mongrels because zog or the jews that run our countries want the white man to perish.,1
 haha bitch ima draw a webb in bullets round yo fuggin forehead beamthat bitch i know where you reside,1
 nah she said you a fag,1
 this nigga .. know damn well you a coon,1
  she spelled faggots with an e youre so cool lol,1
  u guys are fags.,1
 that nigger music,1
 this bitch look like a fucking white trash trailer park queen lookin man bear pig. ,1
  america today the rule of thumb is when in doubt blame whitey,1
 you had to throw in the faggot word smh smh smh,1
" youre racist against white people whigger. antiracist is a codeword for antiwhite.
antizionist is a codeword for antisemite.",1
 fuck you faggot,1
 yes you do retard.,1
 how many fuckin fags did a even get shouldnt be allowed into my wallet whilst under the influence haha,1
 a faggot that needs to grow up,1
 you did a good job doing that to me and not texting back faggot,1
  youre reading you coon,1
 most of these people are followers of followers of truth but they themselves are still niggers... their outlook mind amp all.,1
 thanks for ignoring my texts fag,1
" 
you gots da bet and da msnbc wit dat colored reverend who only listen to coloreds. what else i missing",1
 suck my dick tacos el negro better,1
 you dont have any kids what are you one of them queers,1
 coons and monkeys like you disgust me you minstrel show negro. crying about shit all the time youre a disgrace everywhere,1
" 
yall hire colored folk only work half da day and throw da mail in da sewer if we aint done",1
  teaching that pretend son to b a pussy his son would have lace on his jock strap,1
  them jigaboos aka homewreckers needs to get blocked,1
 who cares tbh ones a shitty di argentino amp the other is a feather fisted nigger,1
 we hate the yankees though right i feel like im really good at hating them.,1
 yeah he sucks just like the other fags who are... oh nevermind there are no fags in the nfl,1
  ill do it  in the uk fag means cigarette and a faggot is a bundle of sticks you homo.,1
 fuck you spear chucker,1
 me too tyler it just makes me think that theyre lil nigger baby hoodrats.,1
 wow u hoe is the term for women,1
 i dont hate the japs. but i aint forgetting gettin japped either.,1
 whatever hoe bitch  them fags beat yall sad asses too,1
  fags.,1
  your tits may be better looking but her face makes you like a asian or latina tranny facts,1
 you look like a welfare bitch compared to latinas i date and fuck. you need fashion and makeup tips tbh,1
    mean bro fucking faggot,1
 die in a car accident then faggot,1
 faggot,1
 ur not sassy white trash change ur username,1
 learn how to type ya hillbilly,1
  humans are evil man. cutting tusks of these beautiful animals so chinks think the get a hard on.,1
 dont stop now half breed im just sta to learn about what makes you a dumb ass,1
 nigger,1
 probs that fag vhia,1
 do i have to repeat myself u white trash,1
 he looks like a pretty dyke,1
   all u can pull is the fucking retard,1
   yo fat ugly ass couldnt even pull the ugly bitch in the school,1
"  
its a nice way of callin yall honkies",1
 happy bi faggot.,1
 im going to blame the black man since they always blame whitey im an equal oppo hater.,1
  to gt get past boot camp and go active a few years see what we really do daily you liberal pussy,1
 eat shit nigga bitch turd bag dick beetle,1
 nigga whos bitch u fucking cracker get your gay ass out my mentions.,1
 is a fag,1
   all racist ntx trash w  all hate to see this pa man in wh n not the butler,1
 so terms like honkey cracker peckerwood and stereotypes of white people fucking their kids and sisters isnt racist sweet,1
   bernstine is chi sox jew fag.,1
 fag,1
   thats just me rooting against a team i hate not banwagoning u retard u have a different favorite,1
" i love racism blame whitey for everything
now that you mention it i bet the white man put the dese to on bundyranch",1
     oh shut up faggot get a disease overused on twitter,1
   its retarded,1
 fag.,1
 u gotta slow down these coon hrs all they know is love n hip hop lebron amp fake love quotes,1
  dont forget nappy headed butt ugly bitch whos married to a muslim,1
 nah dude mostly just sound like a faggot,1
 i know im so kidding. some of bet is funny. i love when blacks call eachother ignorant and niggers. makes me not have to,1
   so why the fuck are still talking shit. you acting like a pussy ass nigga,1
 bitch was i talking to u stfu and get off my page oh bitch nigga u bout that life,1
 here let me say it more clearly since your retarded ass dont understand,1
 how would u know if i dont fuck with you exactly you dont wtf i got shut your retarded ass up,1
 lmao why ur dad raised u to be a bitch made nigga,1
 oh am i lame but yo pussy ass didnt show up the fuck u talking bout oh scary ass white boy,1
 oh but i am and my grades say other wise so u can stfu and get off my twitter or u can box simple ass that pussy boy,1
 your so fucking retared its not even funny bitch im going to sleep u,1
 alright fag what about this ,1
 shut up bitch for i spit on you,1
 robe is a fuckin fag smack the shit outta him,1
 faggot,1
 stop oppressing me have you heard of free speech stop shoving your lifestyle down my throat st amendment tcot teabaggers,1
 stfu dyke looking hoe.,1
   at least im not black bitch your parents left you in the mcdonalds parking lot after you were born,1
 he may be hustlin but he studied critical race theory and my people holder is getting his revenge. they hate whitey.,1
" 
i hopes dis aint cause he colored cause i knows he be actin all nigga like",1
  fucking gay faggot look at that gay ass pink shi haha,1
 better nig. lol but if anything ill flip u the  or something. im tryna get some more cash,1
  ha ha ha no good fat dyke,1
 call him a cock blocking faggot,1
 faggot,1
 quit bitching faggot happy you cant see your faggot family cry baby little girl crying in the parking lot you aint a man sissy,1
 dont be a hu little faggot,1
 niggas probably be watching me like look at this uncle tom ass rasta,1
"   
i dont likes dat magazine. all da black folk look like dey one chromeasome away from da ape",1
    omg no plz stop calling me an idiot... are we in kindergarden you fucking faggot,1
 none of my business  nigga if you get that im living with you lol and im stealing one of them bitches and k ,1
  faggots,1
 youre right.. i be around my nig....,1
  lmao dude you are probably the biggest fag in nebraska ,1
 stfu white trash,1
 gayer then  faggots in bed together,1
 will you mention why being called nigger is wrongwitch i agree with amp bossy is wrong.but being called a pimp is still ok,1
    no just a niggress that thinks shes human.,1
  ill do that if you agree to take your ethiopian starvin looking nigger ass back to africa. buyfoodlittleguy,1
